Key,File,Type,English

buffTIElixirName,buffs,Buff,"Elixir"
buffTIElixirDesc,buffs,Buff,"Restore health, stamina, food and water."
buffTIHealName,buffs,Buff,"Heal Ailments"
buffTIHealDesc,buffs,Buff,"Remove negative status effects, near death trauma and experience debt."
buffTIRegenName,buffs,Buff,"Regeneration"
buffTIRegenDesc,buffs,Buff,"Slowly gain life."
buffTISuddenDeathName,buffs,Buff,"Sudden Death"
buffTISuddenDeathDesc,buffs,Buff,"Any hit from a zombie, animal or player will result in death."
buffTIDamageResistName,buffs,Buff,"Diamond Skin"
buffTIDamageResistDesc,buffs,Buff,"Reduce damage taken from zombies and animals.\n\nYou still take damage from status effects and other sources."
buffTILifeLinkName,buffs,Buff,"Life Link"
buffTILifeLinkDesc,buffs,Buff,"A small percentage of each hit will be added to your life."
buffTIDegradationName,buffs,Buff,"Faulty Gear"
buffTIDegradationDesc,buffs,Buff,"Weapons and tools will degrade quickly."
buffTINerfName,buffs,Buff,"Nerfed"
buffTINerfDesc,buffs,Buff,"Slower attacks, worse aim and less damage. If infected, you will slowly lose health.\n\nAbout time you gave those zombies a chance."
buffTILowStaminaName,buffs,Buff,"Smoker's Lungs"
buffTILowStaminaDesc,buffs,Buff,"Max stamina is reduced."
buffTISlowReloadName,buffs,Buff,"Slow Reloader"
buffTISlowReloadDesc,buffs,Buff,"Reduce reload speed and magazine size.\n\nReloading adds remaining time to this effect."
buffTIBadTripName,buffs,Buff,"Bad Trip"
buffTIBadTripDesc,buffs,Buff,"Distort the screen."
buffTIFeelBadName,buffs,Buff,"Unwell"
buffTIFeelBadDesc,buffs,Buff,"Feels Bad Man."
buffTIVenomName,buffs,Buff,"Snake Venom"
buffTIVenomDesc,buffs,Buff,"Be careful of those anacondas!"
buffTIRadiationName,buffs,Buff,"Fumigation"
buffTIRadiationDesc,buffs,Buff,"You are in an area designated for fumigation.\n\nLeave the toxic area as soon as possible!"
buffTIToxicName,buffs,Buff,"Toxic Area"
buffTIToxicDesc,buffs,Buff,"You are near Patient Zero. Leave the area or eliminate the zombie as soon as possible!"
buffTIMunchiesName,buffs,Buff,"Munchies"
buffTIMunchiesDesc,buffs,Buff,"Your food and water has been depleted and your mobility has decreased, vision blurred, and sometimes you are so hungry that you fall down. If you have dysentery, it will hurt.\n\nRestore food and water levels to remove this effect."
buffTIClumsyFighterName,buffs,Buff,"Clumsy Fighter"
buffTIClumsyFighterDesc,buffs,Buff,"Better watch those attacks. One miss and you might be eating dirt."
buffTISuperZombiesName,buffs,Buff,"Super Zombies"
buffTISuperZombiesDesc,buffs,Buff,"Increase health and damage of nearby zombies and also give them regen."
buffTIWalkItOffName,buffs,Buff,"Walk it off"
buffTIWalkItOffDesc,buffs,Buff,"You must walk, otherwise it will hurt."
buffTIGrasshopperName,buffs,Buff,"Grasshopper"
buffTIGrasshopperDesc,buffs,Buff,"Increase jumping strength."
buffTIWeakKneesName,buffs,Buff,"Weak Knees"
buffTIWeakKneesDesc,buffs,Buff,"Reduce jump height."
buffTIHangoverName,buffs,Buff,"Hangover"
buffTIHangoverDesc,buffs,Buff,"Drinking too much can make you sick."
buffTINewbiePenalty,buffs,Buff,Newbie Penalty
buffTINewbiePenaltyDesc,buffs,Buff,"Take a small amount of damage for each miss. This will also increase remaining time.\n\nBe careful with shotguns since each missed pellet will hurt you."
buffTIBerserkName,buffs,Buff,"Berserk"
buffTIBerserkDesc,buffs,Buff,"Increase movement speed, attack damage and stamina regen."
buffTILegBrokenName,buffs,Buff,"Broken Leg"
buffTILegBrokenDesc,buffs,Buff,"Just like the normal broken leg, only this one remains after death."
buffTIRingOfFireName,buffs,Buff,"Ring of Fire"
buffTIRingOfFireDesc,buffs,Buff,"AOE that set nearby zombies and animals on fire."
buffTIRingOfFirePlayersName,buffs,Buff,"Ring of Fire (Players)"
buffTIRingOfFirePlayersDesc,buffs,Buff,"AOE that set nearby players on fire."
buffTIRingOfShockName,buffs,Buff,"Ring of Shock"
buffTIRingOfShockDesc,buffs,Buff,"AOE that shocks nearby zombies and animals."
buffTIRingOfShockPlayersName,buffs,Buff,"Ring of Shock (Players)"
buffTIRingOfShockPlayersDesc,buffs,Buff,"AOE that shocks nearby players."
buffTIRingOfLoveName,buffs,Buff,"Ring of Love"
buffTIRingOfLoveDesc,buffs,Buff,"AOE that heals nearby zombies and animals."
buffTIRingOfLovePlayersName,buffs,Buff,"Ring of Love (Players)"
buffTIRingOfLovePlayersDesc,buffs,Buff,"AOE that heals nearby players."
buffTIHordeArenaName,buffs,Buff,"Horde Arena"
buffTIHordeArenaDesc,buffs,Buff,"Zombies will spawn in waves. Kill all the zombies from a wave to get the next stage level. How many stages can you clear?"
buffTIDeleteInventoryName,buffs,Buff,"Delete Inventory"
buffTIDeleteInventoryDesc,buffs,Buff,"If you die, your inventory and equipment will be deleted. But don't worry, you got this!"
buffTIJonahRageName,buffs,Buff,"Jonah's Rage"
buffTIJonahRageDesc,buffs,Buff,"Greatly increase brawling damage and extend duration on each hit."
buffTIPowerlessName,buffs,Buff,"Powerless"
buffTIPowerlessDesc,buffs,Buff,"Greatly increase damage resistance of nearby zombies."
buffTIBogName,buffs,Buff,"Bog of Eternal Stench"
buffTIBogDesc,buffs,Buff,"Infect nearby players."
buffTIDarkNightName,buffs,Buff,"Dark Night"
buffTIDarkNightDesc,buffs,Buff,"Someone just wanted to make things a bit more romantic."
buffTIEternalBleedingName,buffs,Buff,"Eternal Bleeding"
buffTIEternalBleedingDesc,buffs,Buff,"You will slowly bleed out until you die. Sometimes remedied by eating road kill."
buffTIDecreaseLootGameStageName,buffs,Buff,"Unlucky Looter"
buffTIDecreaseLootGameStageDesc,buffs,Buff,"Your game stage for looting purposes is greatly decreased."
buffTIIncreaseLootGameStageName,buffs,Buff,"Lucky Charm"
buffTIIncreaseLootGameStageDesc,buffs,Buff,"Your game stage for looting purposes is greatly increased."
buffTISlowPokeMainName,buffs,Buff,"Slow Poke"
buffTISlowPokeMainDesc,buffs,Buff,"Greatly reduce movement speed."
buffTIBrainDrainName,buffs,Buff,"Brain Drain"
buffTIBrainDrainDesc,buffs,Buff,"Removes all perks and reset base health."
buffTIHighStakesMainName,buffs,Buff,"High Stakes"
buffTIHighStakesMainDesc,buffs,Buff,"The stakes couldn't be higher ...\n\nIf you die, you lose everything!"
buffTIFreshMeatName,buffs,Buff,"Fresh Meat"
buffTIFreshMeatDesc,buffs,Buff,"You smell irrestible!\n\nAll zombies are enraged and will target you."

thrownTIAmmoPipeBomb,items,Gun,"Pipe Bomb (Ammo)"
thrownTIAmmoPipeBombDesc,items,Gun,"Make pipe bombs with gunpowder, pipes & mischief.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]"
thrownTIDynamite,items,Gun,"Stick of Dynamite (Ammo)"
thrownTIDynamiteDesc,items,Gun,"A stick of dynamite.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]\nThe mischief part is very important."
thrownTIGrenade,items,Gun,"Grenade (Ammo)"
thrownTIGrenadeDesc,items,Gun,"Pull pin. Cause mischief.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary]"
thrownTIGrenadeContact,items,Gun,"Contact Grenade (Ammo)"
thrownTIGrenadeContactDesc,items,Gun,"Contact-fused grenades are mischievous devices that explode on contact when armed.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary]"
thrownTITimedCharge,items,Gun,"Timed Charge (Ammo)"
thrownTITimedChargeDesc,items,Gun,"A shaped charge that applies highly concentrated mischief.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary]"
thrownTIAmmoMolotovCocktail,items,Gun,"Molotov Cocktail (Ammo)"
thrownTIAmmoMolotovCocktailDesc,items,Gun,"Page one of the Mischief Cookbook.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]"
foodTIRoadkill,items,food,"Roadkill"
foodTIRoadkillDesc,items,food,"Seems edible but has a odd odor.\n\nChance to cure internal and eternal bleeding but may cause munchies."

mm_MedicalSupplyCrate,entityclasses,Entity,"Medical Supply Crate"
mm_FoodSupplyCrate,entityclasses,Entity,"Food Supply Crate"
mm_AmmoSupplyCrate,entityclasses,Entity,"Ammo Supply Crate"
mm_FakeSupplyCrate,entityclasses,Entity,"Supply Crate"
mm_FakeMedicalSupplyCrate,entityclasses,Entity,"Medical Supply Crate"
mm_FakeFoodSupplyCrate,entityclasses,Entity,"Food Supply Crate"
mm_FakeAmmoSupplyCrate,entityclasses,Entity,"Ammo Supply Crate"
TIVehicleBackpack,entityclasses,Entity,"Vehicle Backpack"
EntityLootContainerTILuckyRabbit,entityclasses,Entity,"Lucky Backpack"

zombieTILimo,entityclasses,Entity,"Canadian Eh?"
legendaryTIFatHawaiian,entityclasses,Entity,"Legendary Fat Hawaiian"
legendaryTIFatCop,entityclasses,Entity,"Legendary Fat Cop"
legendaryTIBiker,entityclasses,Entity,"Legendary Biker"
legendaryTIDemolition,entityclasses,Entity,"Legendary Demolition Man"
legendaryTIDemolitionEpic,entityclasses,Entity,"Epic Demolition Man"
legendaryTIDemolitionNuclear,entityclasses,Entity,"Nuclear Demolition Man"
legendaryTIDemolitionFaulty,entityclasses,Entity,"Faulty Demolition Man"
legendaryTIWight,entityclasses,Entity,"Legendary Wight"
zombieTISkateboarderLeader,entityclasses,Entity,"Skater Punk Zombie"
zombieTISkateboarderAltLeader,entityclasses,Entity,"Skater Punk Zombie"
zombieTISkateboarder,entityclasses,Entity,"Skater Punk Zombie"
zombieTILegendarySkateboarder,entityclasses,Entity,"Legendary Skater Punk Zombie"
zombieTIArleneDecoy,entityclasses,Entity,"Zombie Decoy"
zombieTIMarlene,entityclasses,Entity,"Teen Marlene"
zombieTISteve,entityclasses,Entity,"Teen Steve"
zombieTISteveCrawlerFeral,entityclasses,Entity,Lich
zombieTIWightFeral,entityclasses,Entity,"Wight Spider"
zombieTIBurnt,entityclasses,Entity,Lucifer
zombieTIStripperCop,entityclasses,Entity,"Pukin' Paula"
zombieTIWitch,entityclasses,Entity,"Bat Witch"
zombieTIScreamerDemo,entityclasses,Entity,"Demolition Screamer"
zombieTIFragGirl,entityclasses,Entity,"Rocket Robin"
animalTIBearCub,entityclasses,Entity,"Mutant Bear Cub"
animalTISnake,entityclasses,Entity,Anaconda
animalTIGiantRabbit,entityclasses,Entity,"Killer Rabbit of Caerbannog"
animalTIJackrabbit,entityclasses,Entity,"Jackrabbit"
animalTIZombieVultureBat,entityclasses,Entity,"Itty Bitty Bat"
zombieTIFarmerFeral,entityclasses,Entity,"Magic Mike"
zombieTIMummy,entityclasses,Entity,"Zombie Mummy"
zombieTIBoneBuster,entityclasses,Entity,"Bone Buster"
zombieTIRadiatedRange,entityclasses,Entity,"Patient Zero"
zombieTISwampThing,entityclasses,Entity,"Swamp Thing"
zombieTISoldierRadiated,entityclasses,Entity,"Gung-Ho Joe"
zombieTIShaman,entityclasses,Entity,"Desert Shaman"
animalTIDireWolf,entityclasses,Entity,"Legendary Wolf"
animalTIZombieVultureScreamer,entityclasses,Entity,"Vulture Screamer"
animalTIZombieVultureLarge,entityclasses,Entity,"Vulture Dragon"
animalTIZombieVultureDog,entityclasses,Entity,"Mad Mutt"
animalTIZombieBear,entityclasses,Entity,"Legendary Bear"
animalTIRabbit,entityclasses,Entity,"Peter Rabbit"
animalTIStag,entityclasses,Entity,"Bambi's Dad"
animalTIChicken,entityclasses,Entity,"Voided Chicken"
animalTIMountainLion,entityclasses,Entity,"Thunder Cat"
animalTIMountainLionSmall,entityclasses,Entity,"Killer Kitten"
animalTICareBear,entityclasses,Entity,"Care Bear"
animalTIFlyingSnake,entityclasses,Entity,"Danger Noodle"
animalTILuckyRabbit,entityclasses,Entity,"Lucky Rabbit"
zombieTIDeathCrawler,entityclasses,Entity,"Death Crawler"
animalChickenHostile,entityclasses,Entity,"Murder Turkey"
animalTICoyote,entityclasses,Entity,"Killyote"
zombieTITormentScreamer,entityclasses,Entity,"Torment Witch"

TwitchAction_SpawnToughCommand,twitch,Actions,#spawn_tough
TwitchAction_SpawnTough,twitch,Actions,Tough Zombie
TwitchAction_SpawnToughDesc,twitch,Actions,Spawns a random tough zombie.
TwitchAction_SpawnFeralCommand,twitch,Actions,#spawn_feral
TwitchAction_SpawnFeral,twitch,Actions,Feral Zombie
TwitchAction_SpawnFeralDesc,twitch,Actions,Spawns a random feral zombie.
TwitchAction_SpawnRadCommand,twitch,Actions,#spawn_rad
TwitchAction_SpawnRad,twitch,Actions,Radiated Zombie
TwitchAction_SpawnRadDesc,twitch,Actions,Spawns a random radiated zombie.
TwitchAction_SpawnZombieLimoCommand,twitch,Actions,#zombie_limo
TwitchAction_SpawnZombieLimo,twitch,Actions,Canadian Eh?
TwitchAction_SpawnZombieLimoDesc,twitch,Actions,Spawns a Legendary Canadian zombie.
TwitchAction_SpawnLegendaryTouristCommand,twitch,Actions,#spawn_legendary_tourist
TwitchAction_SpawnLegendaryTourist,twitch,Actions,Legendary Tourist
TwitchAction_SpawnLegendaryTouristDesc,twitch,Actions,Spawns a Legendary Tourist zombie.
TwitchAction_SpawnLegendaryCopCommand,twitch,Actions,#spawn_legendary_cop
TwitchAction_SpawnLegendaryCop,twitch,Actions,Legendary Cop
TwitchAction_SpawnLegendaryCopDesc,twitch,Actions,Spawns a Legendary Cop zombie.
TwitchAction_SpawnPukingPaulaCommand,twitch,Actions,#spawn_puking_paula
TwitchAction_SpawnPukingPaula,twitch,Actions,Pukin' Paula
TwitchAction_SpawnPukingPaulaDesc,twitch,Actions,Spawns a nasty Party Girl zombie.
TwitchAction_SpawnLegendaryBikerCommand,twitch,Actions,#spawn_legendary_biker
TwitchAction_SpawnLegendaryBiker,twitch,Actions,Legendary Biker
TwitchAction_SpawnLegendaryBikerDesc,twitch,Actions,Spawns a Legendary Biker zombie.
TwitchAction_SpawnLegendaryDemoCommand,twitch,Actions,#spawn_legendary_demo
TwitchAction_SpawnLegendaryDemo,twitch,Actions,Legendary Demolitionist
TwitchAction_SpawnLegendaryDemoDesc,twitch,Actions,Spawns a Legendary Demoltionist zombie.
TwitchAction_SpawnEpicDemoCommand,twitch,Actions,#spawn_epic_demo
TwitchAction_SpawnEpicDemo,twitch,Actions,Epic Demolitionist
TwitchAction_SpawnEpicDemoDesc,twitch,Actions,Spawns an Epic Demolitionist zombie.
TwitchAction_SpawnNuclearDemoCommand,twitch,Actions,#spawn_nuclear_demo
TwitchAction_SpawnNuclearDemo,twitch,Actions,Nuclear Demolitionist
TwitchAction_SpawnNuclearDemoDesc,twitch,Actions,Spawns a Nuclear Demolitionist zombie.
TwitchAction_SpawnLegendaryWightCommand,twitch,Actions,#spawn_legendary_wight
TwitchAction_SpawnLegendaryWight,twitch,Actions,Legendary Wight
TwitchAction_SpawnLegendaryWightDesc,twitch,Actions,Spawns a Legendary Wight zombie.
TwitchAction_SpawnDemoScreamerCommand,twitch,Actions,#spawn_demo_screamer
TwitchAction_SpawnDemoScreamer,twitch,Actions,Screamer Demolitionist
TwitchAction_SpawnDemoScreamerDesc,twitch,Actions,Spawns a Demolitionist Screamer zombie.
TwitchAction_SpawnTormentScreamerCommand,twitch,Actions,#torment
TwitchAction_SpawnTormentScreamer,twitch,Actions,Torment
TwitchAction_SpawnTormentScreamerDesc,twitch,Actions,Spawns a special Screamer zombie that repeatedly spawns more screamers until it's killed.
TwitchAction_SpawnSwampThingCommand,twitch,Actions,#spawn_swamp_thing
TwitchAction_SpawnSwampThing,twitch,Actions,Swamp Thing
TwitchAction_SpawnSwampThingDesc,twitch,Actions,Spawns a giant Swamp Thing zombie.
TwitchAction_SpawnDesertShamanCommand,twitch,Actions,#spawn_desert_shaman
TwitchAction_SpawnDesertShaman,twitch,Actions,Desert Shaman
TwitchAction_SpawnDesertShamanDesc,twitch,Actions,Spawns a Shaman that will resurrect zombies until it's killed.
